game_id	"	"	is_home	"	"	team_id	"	"	team_name	"	"	team_url	"	"	inning_scores	"	"	team_rhe
3018195	#	0	#		#	Arlington Baptist	#		#	[0, 0, 0, 1, 0, 0, 1]	#	[2, 7, 1]
3018195	#	1	#	2	#	Abilene Christian	#	http://stats.ncaa.org/team/index/11620?org_id=2	#	[2, 3, 5, 1, 0, 0, 1]	#	[12, 14, 0]
3379564	#	0	#	664	#	Southern Miss.	#	http://stats.ncaa.org/team/index/11620?org_id=664	#	[3, 0, 0, 0, 1, 0, 3, 0, 0]	#	[7, 11, 0]
3379564	#	1	#	458	#	Charlotte	#	http://stats.ncaa.org/team/index/11620?org_id=458	#	[0, 1, 0, 0, 0, 1, 0, 0, 0]	#	[2, 6, 0]
3258727	#	0	#	559	#	Purdue	#	http://stats.ncaa.org/team/index/11620?org_id=559	#	[0, 0, 1, 0, 0, 0, 0, 3, 0]	#	[4, 8, 2]
3258727	#	1	#	301	#	Illinois	#	http://stats.ncaa.org/team/index/11620?org_id=301	#	[1, 0, 0, 1, 0, 0, 0, 0, 1]	#	[3, 9, 3]
3300458	#	0	#	235	#	Florida	#	http://stats.ncaa.org/team/index/11620?org_id=235	#	[0, 0, 2, 0, 1, 0, 0, 5, 0]	#	[8, 11, 1]
3300458	#	1	#	334	#	Kentucky	#	http://stats.ncaa.org/team/index/11620?org_id=334	#	[0, 1, 1, 0, 0, 7, 0, 0, 0]	#	[9, 18, 2]
3314386	#	0	#		#	Robert Morris-S'fiel	#		#	[0, 0, 0, 0, 0, 0, 0]	#	[0, 1, 2]
3314386	#	1	#	299	#	Illinois St.	#	http://stats.ncaa.org/team/index/11620?org_id=299	#	[2, 2, 3, 0, 2, 4, 0]	#	[13, 10, 1]
3343793	#	0	#	678	#	Stetson	#	http://stats.ncaa.org/team/index/11620?org_id=678	#	[0, 0, 0, 0, 1, 0, 3, 0, 0]	#	[4, 12, 2]
3343793	#	1	#	2711	#	North Florida	#	http://stats.ncaa.org/team/index/11620?org_id=2711	#	[0, 1, 0, 2, 5, 3, 0, 0, 0]	#	[11, 13, 2]
3228977	#	0	#	366	#	Louisiana Tech	#	http://stats.ncaa.org/team/index/11620?org_id=366	#	[0, 1, 0, 0, 0, 0, 0, 1, 1]	#	[3, 10, 2]
3228977	#	1	#	229	#	Fla. Atlantic	#	http://stats.ncaa.org/team/index/11620?org_id=229	#	[0, 0, 0, 0, 0, 0, 0, 0, 2]	#	[2, 4, 1]
3361063	#	0	#	149	#	Coastal Caro.	#	http://stats.ncaa.org/team/index/11620?org_id=149	#	[2, 0, 0, 0, 0, 1, 0, 1, 0]	#	[4, 6, 0]
3361063	#	1	#	490	#	North Carolina St.	#	http://stats.ncaa.org/team/index/11620?org_id=490	#	[1, 0, 0, 1, 1, 0, 0, 5, 0]	#	[8, 12, 1]
3090013	#	0	#	817	#	Youngstown St.	#	http://stats.ncaa.org/team/index/11620?org_id=817	#	[0, 0, 0, 0, 1, 0, 0, 2, 0]	#	[3, 8, 2]
3090013	#	1	#	9	#	UAB	#	http://stats.ncaa.org/team/index/11620?org_id=9	#	[1, 3, 2, 1, 0, 0, 0, 0, 0]	#	[7, 8, 2]
3161424	#	0	#	749	#	Wake Forest	#	http://stats.ncaa.org/team/index/11620?org_id=749	#	[0, 0, 1, 1, 0, 6, 0, 0, 1]	#	[9, 8, 0]
3161424	#	1	#	255	#	Georgia Tech	#	http://stats.ncaa.org/team/index/11620?org_id=255	#	[1, 0, 0, 1, 0, 0, 0, 0, 0]	#	[2, 11, 2]
3258739	#	0	#	551	#	Portland	#	http://stats.ncaa.org/team/index/11620?org_id=551	#	[0, 0, 0, 0, 0, 0, 0, 0, 0]	#	[0, 7, 1]
3258739	#	1	#	541	#	Pepperdine	#	http://stats.ncaa.org/team/index/11620?org_id=541	#	[1, 4, 0, 0, 0, 1, 0, 0, 0]	#	[6, 8, 1]
3018413	#	0	#	626	#	San Diego St.	#	http://stats.ncaa.org/team/index/11620?org_id=626	#	[0, 0, 1, 3, 0, 0, 0, 0, 0]	#	[4, 8, 3]
3018413	#	1	#	630	#	San Jose St.	#	http://stats.ncaa.org/team/index/11620?org_id=630	#	[0, 0, 2, 3, 0, 0, 0, 1, 0]	#	[6, 7, 0]
3300459	#	0	#	235	#	Florida	#	http://stats.ncaa.org/team/index/11620?org_id=235	#	[2, 0, 1, 0, 0, 5, 1, 0, 2]	#	[11, 17, 0]
3300459	#	1	#	334	#	Kentucky	#	http://stats.ncaa.org/team/index/11620?org_id=334	#	[0, 0, 0, 0, 0, 0, 0, 8, 2]	#	[10, 12, 1]
3379565	#	0	#	664	#	Southern Miss.	#	http://stats.ncaa.org/team/index/11620?org_id=664	#	[0, 0, 0, 0, 0, 0, 0, 0, 0]	#	[0, 6, 3]
3379565	#	1	#	458	#	Charlotte	#	http://stats.ncaa.org/team/index/11620?org_id=458	#	[0, 4, 0, 0, 0, 2, 0, 2, 0]	#	[8, 10, 2]
3228981	#	0	#	366	#	Louisiana Tech	#	http://stats.ncaa.org/team/index/11620?org_id=366	#	[0, 2, 0, 0, 0, 0, 0, 0, 0]	#	[2, 7, 1]
3228981	#	1	#	229	#	Fla. Atlantic	#	http://stats.ncaa.org/team/index/11620?org_id=229	#	[0, 0, 0, 0, 0, 0, 1, 2, 0]	#	[3, 9, 2]
3314389	#	0	#	772	#	Western Ky.	#	http://stats.ncaa.org/team/index/11620?org_id=772	#	[1, 0, 0, 0, 0, 0, 0, 2, 2]	#	[5, 14, 2]
3314389	#	1	#	716	#	Troy	#	http://stats.ncaa.org/team/index/11620?org_id=716	#	[0, 0, 0, 6, 0, 0, 0, 4, 0]	#	[10, 9, 0]
3361066	#	0	#	657	#	Southern California	#	http://stats.ncaa.org/team/index/11620?org_id=657	#	[0, 0, 0, 0, 1, 0, 0, 6, 0]	#	[7, 8, 0]
3361066	#	1	#	754	#	Washington St.	#	http://stats.ncaa.org/team/index/11620?org_id=754	#	[0, 1, 0, 0, 0, 0, 0, 0, 0]	#	[1, 3, 1]
3090035	#	0	#	450	#	Mt. St. Mary's	#	http://stats.ncaa.org/team/index/11620?org_id=450	#	[0, 0, 0, 0, 0, 0, 0, 0, 0]	#	[0, 6, 0]
3090035	#	1	#	173	#	Davidson	#	http://stats.ncaa.org/team/index/11620?org_id=173	#	[0, 0, 2, 0, 6, 2, 1, 0, 0]	#	[11, 11, 1]
3343794	#	0	#	474	#	New Orleans	#	http://stats.ncaa.org/team/index/11620?org_id=474	#	[1, 0, 3, 0, 0, 0, 0, 0, 0]	#	[4, 10, 3]
3343794	#	1	#	483	#	Nicholls St.	#	http://stats.ncaa.org/team/index/11620?org_id=483	#	[2, 5, 0, 0, 0, 0, 0, 0, 0]	#	[7, 10, 2]
3161463	#	0	#	308	#	IPFW	#	http://stats.ncaa.org/team/index/11620?org_id=308	#	[0, 1, 0, 0, 1, 1, 0, 0, 0]	#	[3, 5, 1]
3161463	#	1	#	87	#	Butler	#	http://stats.ncaa.org/team/index/11620?org_id=87	#	[0, 1, 3, 3, 0, 0, 2, 0, 0]	#	[9, 12, 2]
3018433	#	0	#	355	#	Liberty	#	http://stats.ncaa.org/team/index/11620?org_id=355	#	[2, 0, 2, 0, 0, 0, 0, 0, 0]	#	[4, 7, 4]
3018433	#	1	#	2711	#	North Florida	#	http://stats.ncaa.org/team/index/11620?org_id=2711	#	[0, 1, 6, 0, 0, 0, 0, 4, 0]	#	[11, 13, 2]
3300464	#	0	#	386	#	Marist	#	http://stats.ncaa.org/team/index/11620?org_id=386	#	[0, 0, 0, 0, 0, 1, 0, 0, 0]	#	[1, 8, 2]
3300464	#	1	#	576	#	Rider	#	http://stats.ncaa.org/team/index/11620?org_id=576	#	[6, 3, 0, 0, 0, 0, 0, 0, 0]	#	[9, 9, 2]
3258740	#	0	#	627	#	San Diego	#	http://stats.ncaa.org/team/index/11620?org_id=627	#	[0, 0, 0, 0, 0, 8, 0, 0, 7]	#	[15, 16, 2]
3258740	#	1	#	629	#	San Francisco	#	http://stats.ncaa.org/team/index/11620?org_id=629	#	[0, 0, 2, 0, 4, 1, 0, 0, 2]	#	[9, 11, 1]
3379648	#	0	#	128	#	UCF	#	http://stats.ncaa.org/team/index/11620?org_id=128	#	[0, 0, 0, 2, 0, 0, 0, 1, 1]	#	[4, 9, 1]
3379648	#	1	#	164	#	UConn	#	http://stats.ncaa.org/team/index/11620?org_id=164	#	[0, 0, 1, 0, 0, 0, 4, 0, 0]	#	[5, 9, 2]
3229124	#	0	#	606	#	Saint Joseph's	#	http://stats.ncaa.org/team/index/11620?org_id=606	#	[2, 3, 0, 1, 3, 5, 1, 0, 0]	#	[15, 14, 1]
3229124	#	1	#	251	#	Georgetown	#	http://stats.ncaa.org/team/index/11620?org_id=251	#	[0, 0, 0, 0, 0, 0, 0, 0, 0]	#	[0, 5, 3]
3343796	#	0	#	434	#	Missouri	#	http://stats.ncaa.org/team/index/11620?org_id=434	#	[0, 0, 0, 0, 0, 0, 0, 1, 0]	#	[1, 6, 1]
3343796	#	1	#	235	#	Florida	#	http://stats.ncaa.org/team/index/11620?org_id=235	#	[0, 2, 2, 0, 0, 1, 0, 2, 0]	#	[7, 8, 1]
3161465	#	0	#		#	Arlington Baptist	#		#	[0, 0, 0, 0, 0, 0, 2, 0, 0]	#	[2, 6, 0]
3161465	#	1	#	536	#	Tex.-Pan American	#	http://stats.ncaa.org/team/index/11620?org_id=536	#	[0, 0, 2, 2, 0, 0, 0, 0, 0]	#	[4, 11, 1]
3314392	#	0	#	302	#	Ill.-Chicago	#	http://stats.ncaa.org/team/index/11620?org_id=302	#	[0, 0, 0, 0, 3, 0, 0, 0, 0]	#	[3, 5, 0]
3314392	#	1	#	514	#	Oakland	#	http://stats.ncaa.org/team/index/11620?org_id=514	#	[1, 8, 2, 2, 0, 0, 2, 0, 0]	#	[15, 22, 3]
3361071	#	0	#	1014	#	Col. of Charleston	#	http://stats.ncaa.org/team/index/11620?org_id=1014	#	[0, 0, 0, 0, 0, 0, 0, 0, 0]	#	[0, 7, 1]
3361071	#	1	#	460	#	UNCW	#	http://stats.ncaa.org/team/index/11620?org_id=460	#	[3, 0, 0, 1, 0, 0, 0, 1, 0]	#	[5, 8, 1]
3018633	#	0	#	756	#	Washington	#	http://stats.ncaa.org/team/index/11620?org_id=756	#	[0, 0, 0, 1, 0, 2, 6, 0, 0]	#	[9, 11, 0]
3018633	#	1	#	721	#	Air Force	#	http://stats.ncaa.org/team/index/11620?org_id=721	#	[0, 0, 0, 3, 0, 4, 2, 5, 0]	#	[14, 14, 5]
3090093	#	0	#	201	#	Eastern Ill.	#	http://stats.ncaa.org/team/index/11620?org_id=201	#	[0, 0, 0, 0, 0, 0, 0, 3, 0]	#	[3, 7, 2]
3090093	#	1	#	31	#	Arkansas	#	http://stats.ncaa.org/team/index/11620?org_id=31	#	[0, 0, 0, 0, 2, 0, 1, 5, 0]	#	[8, 10, 0]
3258741	#	0	#	28600	#	Lipscomb	#	http://stats.ncaa.org/team/index/11620?org_id=28600	#	[1, 0, 0, 0, 2, 0, 2, 6, 0]	#	[11, 14, 0]
3258741	#	1	#	10411	#	USC Upstate	#	http://stats.ncaa.org/team/index/11620?org_id=10411	#	[0, 0, 0, 0, 0, 0, 0, 0, 0]	#	[0, 6, 2]
3300468	#	0	#	315	#	Jacksonville St.	#	http://stats.ncaa.org/team/index/11620?org_id=315	#	[1, 0, 0, 0, 1, 0, 0, 0, 1]	#	[3, 12, 2]
3300468	#	1	#	473	#	New Mexico	#	http://stats.ncaa.org/team/index/11620?org_id=473	#	[1, 0, 0, 0, 1, 2, 0, 1, 0]	#	[5, 12, 0]
3379649	#	0	#	128	#	UCF	#	http://stats.ncaa.org/team/index/11620?org_id=128	#	[1, 0, 1, 0, 0, 1, 0, 0, 2]	#	[5, 12, 1]
3379649	#	1	#	164	#	UConn	#	http://stats.ncaa.org/team/index/11620?org_id=164	#	[3, 0, 2, 0, 0, 0, 0, 0, 1]	#	[6, 14, 0]
3314393	#	0	#	61	#	Bethune-Cookman	#	http://stats.ncaa.org/team/index/11620?org_id=61	#	[0, 2, 1, 0, 0, 0, 0, 0, 0]	#	[3, 6, 0]
3314393	#	1	#	489	#	N.C. Central	#	http://stats.ncaa.org/team/index/11620?org_id=489	#	[0, 0, 0, 0, 0, 2, 0, 3, 0]	#	[5, 8, 0]
3361072	#	0	#	756	#	Washington	#	http://stats.ncaa.org/team/index/11620?org_id=756	#	[0, 2, 1, 0, 0, 3, 0, 2, 0]	#	[8, 9, 1]
3361072	#	1	#	732	#	Utah	#	http://stats.ncaa.org/team/index/11620?org_id=732	#	[1, 0, 0, 3, 0, 0, 0, 0, 0]	#	[4, 5, 1]
3090173	#	0	#	201	#	Eastern Ill.	#	http://stats.ncaa.org/team/index/11620?org_id=201	#	[0, 0, 0, 0, 0, 0, 3, 0, 0]	#	[3, 6, 1]
3090173	#	1	#	31	#	Arkansas	#	http://stats.ncaa.org/team/index/11620?org_id=31	#	[0, 0, 2, 0, 0, 0, 2, 4, 0]	#	[8, 10, 1]
3229145	#	0	#	1004	#	Central Ark.	#	http://stats.ncaa.org/team/index/11620?org_id=1004	#	[2, 0, 0, 0, 0, 0, 0, 2, 0]	#	[4, 9, 1]
3229145	#	1	#	26172	#	A&M-Corpus Chris	#	http://stats.ncaa.org/team/index/11620?org_id=26172	#	[0, 0, 2, 0, 0, 0, 0, 0, 0]	#	[2, 8, 0]
3343799	#	0	#	458	#	Charlotte	#	http://stats.ncaa.org/team/index/11620?org_id=458	#	[0, 0, 0, 0, 2, 3, 0, 0, 0]	#	[5, 10, 1]
3343799	#	1	#	706	#	UTSA	#	http://stats.ncaa.org/team/index/11620?org_id=706	#	[0, 0, 0, 0, 0, 0, 0, 1, 1]	#	[2, 8, 0]
