game_id	"	"	inning_id	"	"	event_id	"	"	team_text	"	"	score	"	"	opponent_text
3300438	#	5	#	78	#	Cody Brown pinch hit for Wes Rea.	#		#	
3300438	#	5	#	79	#	Cody Brown struck out swinging (3-2).	#		#	
3300438	#	5	#	80	#		#		#	Alex Detz to 1b.
3300438	#	5	#	81	#		#		#	M. Britton to 3b for Cody Brown.
3300438	#	5	#	82	#		#		#	Fraley flied out to rf (0-1).
3300438	#	5	#	83	#		#	2-11	#	Ibarra homered to left field, RBI (3-1).
3300438	#	5	#	84	#		#		#	Stevenson walked (3-0).
3300438	#	5	#	85	#		#		#	McMullen walked (3-1); Stevenson advanced to second.
3300438	#	5	#	86	#		#	2-12	#	Laird doubled to right field, RBI (0-2); McMullen advanced to third; Stevenson scored.
3300438	#	5	#	87	#		#		#	Bregman walked (3-1).
3300438	#	5	#	88	#		#	2-16	#	Scivicque homered to left center, 4 RBI (3-2); Bregman scored; Laird scored; McMullen scored.
3300438	#	5	#	89	#		#		#	Lucas Laster to p for A. Sexton.
3300438	#	5	#	90	#		#		#	Robertson pinch hit for Moore.
3300438	#	5	#	91	#		#		#	Robertson struck out looking (2-2).
3300438	#	5	#	92	#		#		#	Zardon pinch hit for Hale.
3300438	#	5	#	93	#		#		#	Zardon struck out swinging (1-2).
3300438	#	5	#	94	#	R: 0 H: 1 E: 0 LOB: 1	#	2-16	#	R: 6 H: 3 E: 0 LOB: 0
3300438	#	6	#	95	#	Robertson to 2b.	#		#	
3300438	#	6	#	96	#	Zardon to 1b.	#		#	
3300438	#	6	#	97	#	McCune to p for Cartwright.	#		#	
3300438	#	6	#	98	#	Brett Pirtle grounded out to p unassisted (2-1).	#		#	
3300438	#	6	#	99	#	D. Armstrong struck out swinging (1-2).	#		#	
3300438	#	6	#	100	#	C. Bradford out at first 1b to p (2-1).	#		#	
3300438	#	6	#	101	#		#		#	Cody Walker to c for Z. Randolph.
3300438	#	6	#	102	#		#		#	Fraley reached on a throwing error by 3b, advanced to second (2-1).
3300438	#	6	#	103	#		#		#	Foster pinch hit for Ibarra.
3300438	#	6	#	104	#		#		#	Foster singled to second base (3-2); Fraley advanced to third.
3300438	#	6	#	105	#		#	2-17	#	Stevenson out at first 1b to p, RBI (0-1); Foster advanced to second; Fraley scored, unearned.
3300438	#	6	#	106	#		#		#	Sciambra pinch hit for McMullen.
3300438	#	6	#	107	#		#		#	Sciambra struck out swinging (2-2).
3300438	#	6	#	108	#		#		#	Laird hit by pitch (1-0).
3300438	#	6	#	109	#		#		#	Bregman struck out looking (1-2).
3300438	#	6	#	110	#	R: 0 H: 0 E: 0 LOB: 0	#	2-17	#	R: 1 H: 1 E: 1 LOB: 2
3300438	#	7	#	111	#	Sciambra to rf.	#		#	
3300438	#	7	#	112	#	McCune to p for Laird.	#		#	
3300438	#	7	#	113	#	Scivicque to 1b.	#		#	
3300438	#	7	#	114	#	Zardon to 3b.	#		#	
3300438	#	7	#	115	#	Chinea to c for Foster.	#		#	
3300438	#	7	#	116	#	/  for McCune.	#		#	
3300438	#	7	#	117	#	J. Vickerson singled up the middle (3-2).	#		#	
3300438	#	7	#	118	#	G. Collins doubled down the lf line (1-1); J. Vickerson advanced to third.	#		#	
3300438	#	7	#	119	#	Cody Walker grounded out to ss, RBI (0-2); G. Collins advanced to third; J. Vickerson scored.	#	3-17	#	
3300438	#	7	#	120	#	Seth Heck flied out to cf (2-2).	#		#	
3300438	#	7	#	121	#	Alex Detz grounded out to ss (1-0).	#		#	
3300438	#	7	#	122	#		#		#	Scivicque singled to right field (0-0).
3300438	#	7	#	123	#		#		#	Robertson flied out to cf (0-0).
3300438	#	7	#	124	#		#		#	Zardon singled to second base (1-2); Scivicque advanced to second.
